"2pt[t]/2pt[t1] where t1==t+1","t","t1","[min]","[mean]","[max]","[a*t+b@a=-4.44866e-05,b=1.22328]","[error]"
"2pt[00]/2pt[01]",0.0,1.0,1.19,1.25,1.3,1.22328180064,-0.485785442998
"2pt[01]/2pt[02]",1.0,2.0,1.27,1.33,1.4,1.22323731399,-1.64250286172
"2pt[02]/2pt[03]",2.0,3.0,0.99,1.05,1.11,1.22319282734,2.88654712236
"2pt[03]/2pt[04]",3.0,4.0,1.36,1.42,1.48,1.22314834069,-3.28086098843
"2pt[04]/2pt[05]",4.0,5.0,1.13,1.17,1.23,1.22310385405,1.06207708095
"2pt[05]/2pt[06]",5.0,6.0,1.05,1.09,1.15,1.2230593674,2.66118734801
"2pt[06]/2pt[07]",6.0,7.0,1.21,1.29,1.35,1.22301488075,-0.956930274946
"2pt[07]/2pt[08]",7.0,8.0,1.2,1.26,1.32,1.22297039411,-0.617160098218
"2pt[08]/2pt[09]",8.0,9.0,1.104,1.149,1.201,1.22292590746,1.52424551464
"2pt[09]/2pt[10]",9.0,10.0,1.22,1.28,1.33,1.22288142081,-1.03851962158
"2pt[10]/2pt[11]",10.0,11.0,1.29,1.35,1.42,1.22283693417,-1.95635485898
"2pt[11]/2pt[12]",11.0,12.0,1.01,1.06,1.11,1.22279244752,3.25584895039
"2pt[12]/2pt[13]",12.0,13.0,1.19,1.25,1.31,1.22274796087,-0.454200652125
"2pt[13]/2pt[14]",13.0,14.0,1.1,1.17,1.22,1.22270347423,0.878391237093
"2pt[14]/2pt[15]",14.0,15.0,1.25,1.29,1.35,1.22265898758,-1.34682024843
