"log(2pt[t]/2pt[t1]) where t1==t-1","t","t1","[min]","[mean]","[max]","[a*t+b@a=3.81508e-05,b=-0.187054]","[error]"
"log(2pt[01]/2pt[00])",1.0,0.0,-0.269,-0.224,-0.188,-0.187016231479,0.913179469666
"log(2pt[02]/2pt[01])",2.0,1.0,-0.341,-0.29,-0.241,-0.186978080725,2.06043838549
"log(2pt[03]/2pt[02])",3.0,2.0,-0.094,-0.057,-0.006,-0.186939929972,-2.95318022664
"log(2pt[04]/2pt[03])",4.0,3.0,-0.4,-0.35,-0.29,-0.186901779219,2.96542219601
"log(2pt[05]/2pt[04])",5.0,4.0,-0.23,-0.16,-0.11,-0.186863628466,-0.447727141103
"log(2pt[06]/2pt[05])",6.0,5.0,-0.13,-0.09,-0.03,-0.186825477713,-1.93650955426
"log(2pt[07]/2pt[06])",7.0,6.0,-0.3,-0.25,-0.19,-0.18678732696,1.149321328
"log(2pt[08]/2pt[07])",8.0,7.0,-0.286,-0.236,-0.194,-0.186749176207,1.07067008246
"log(2pt[09]/2pt[08])",9.0,8.0,-0.179,-0.139,-0.091,-0.186711025454,-1.08434148759
"log(2pt[10]/2pt[09])",10.0,9.0,-0.295,-0.249,-0.206,-0.186672874701,1.40060955729
"log(2pt[11]/2pt[10])",11.0,10.0,-0.34,-0.3,-0.24,-0.186634723948,2.26730552105
"log(2pt[12]/2pt[11])",12.0,11.0,-0.111,-0.067,-0.033,-0.186596573195,-3.06657879986
"log(2pt[13]/2pt[12])",13.0,12.0,-0.27,-0.22,-0.17,-0.186558422442,0.668831551169
"log(2pt[14]/2pt[13])",14.0,13.0,-0.21,-0.15,-0.11,-0.186520271688,-0.730405433769
"log(2pt[15]/2pt[14])",15.0,14.0,-0.287,-0.255,-0.199,-0.186482120935,1.5572245242
