"3pt[t1][t2]/2pt[t1]/2pt[t2] where t1==t2","t1","t2","[min]","[mean]","[max]","[a*t1+b@a=-0.00221135,b=0.969292]","[error]"
"3pt[00][00]/2pt[00]/2pt[00]",0.0,0.0,0.83,0.91,1.04,0.969291729971,0.564683142581
"3pt[01][01]/2pt[01]/2pt[01]",1.0,1.0,0.86,0.96,1.05,0.967080379588,0.0745303114504
"3pt[02][02]/2pt[02]/2pt[02]",2.0,2.0,0.88,0.97,1.04,0.964869029205,-0.0641371349427
"3pt[03][03]/2pt[03]/2pt[03]",3.0,3.0,1.14,1.27,1.43,0.962657678821,-2.11960221502
"3pt[04][04]/2pt[04]/2pt[04]",4.0,4.0,1.02,1.11,1.25,0.960446328438,-1.30046670923
"3pt[05][05]/2pt[05]/2pt[05]",5.0,5.0,0.71,0.78,0.85,0.958234978055,2.54621397221
"3pt[06][06]/2pt[06]/2pt[06]",6.0,6.0,0.94,1.06,1.18,0.956023627672,-0.866469769402
"3pt[07][07]/2pt[07]/2pt[07]",7.0,7.0,0.8,0.89,0.98,0.953812277289,0.709025303206
"3pt[08][08]/2pt[08]/2pt[08]",8.0,8.0,0.78,0.88,0.98,0.951600926905,0.716009269054
"3pt[09][09]/2pt[09]/2pt[09]",9.0,9.0,0.87,0.97,1.1,0.949389576522,-0.17922107372
"3pt[10][10]/2pt[10]/2pt[10]",10.0,10.0,0.9,1.01,1.1,0.947178226139,-0.62821773861
"3pt[11][11]/2pt[11]/2pt[11]",11.0,11.0,0.89,0.99,1.11,0.944966875756,-0.409392038584
"3pt[12][12]/2pt[12]/2pt[12]",12.0,12.0,0.82,0.93,1.06,0.942755525373,0.106296044771
"3pt[13][13]/2pt[13]/2pt[13]",13.0,13.0,0.83,0.91,0.99,0.940544174989,0.381802187367
"3pt[14][14]/2pt[14]/2pt[14]",14.0,14.0,0.87,0.96,1.05,0.938332824606,-0.240746393265
"3pt[15][15]/2pt[15]/2pt[15]",15.0,15.0,0.86,0.96,1.08,0.936121474223,-0.217077507064
