"log(2pt[t]/2pt[t1]) where t1==t-1","t","t1","[min]","[mean]","[max]"
"log(2pt[01]/2pt[00])",1.0,0.0,-0.269,-0.224,-0.188
"log(2pt[02]/2pt[01])",2.0,1.0,-0.341,-0.29,-0.241
"log(2pt[03]/2pt[02])",3.0,2.0,-0.094,-0.057,-0.006
"log(2pt[04]/2pt[03])",4.0,3.0,-0.4,-0.35,-0.29
"log(2pt[05]/2pt[04])",5.0,4.0,-0.23,-0.16,-0.11
"log(2pt[06]/2pt[05])",6.0,5.0,-0.13,-0.09,-0.03
"log(2pt[07]/2pt[06])",7.0,6.0,-0.3,-0.25,-0.19
"log(2pt[08]/2pt[07])",8.0,7.0,-0.286,-0.236,-0.194
"log(2pt[09]/2pt[08])",9.0,8.0,-0.179,-0.139,-0.091
"log(2pt[10]/2pt[09])",10.0,9.0,-0.295,-0.249,-0.206
"log(2pt[11]/2pt[10])",11.0,10.0,-0.34,-0.3,-0.24
"log(2pt[12]/2pt[11])",12.0,11.0,-0.111,-0.067,-0.033
"log(2pt[13]/2pt[12])",13.0,12.0,-0.27,-0.22,-0.17
"log(2pt[14]/2pt[13])",14.0,13.0,-0.21,-0.15,-0.11
"log(2pt[15]/2pt[14])",15.0,14.0,-0.287,-0.255,-0.199
